Episode,Agent,Action,Observation,Reward,Done
0,adversary_0,1.0,"[ 0.          0.          0.02364325  0.90092736  0.06562539 -1.751321
  0.43268034 -0.83226943 -0.735324   -0.0036285  -0.39998034 -1.0542744
  0.6317619  -1.0825291 ]",0.0,False
0,adversary_1,2.0,"[ 0.          0.         -0.71168077  0.8972989   0.8009494  -1.7476925
  1.1680044  -0.82864094  0.735324    0.0036285   0.3353437  -1.050646
  1.3670859  -1.0789006 ]",0.0,False
0,adversary_2,3.0,"[ 0.          0.         -0.37633708 -0.1533471   0.46560574 -0.6970465
  0.8326607   0.22200507  0.39998034  1.0542744  -0.3353437   1.050646
  1.0317423  -0.02825462]",0.0,False
0,agent_0,3.0,"[ 0.          0.          0.65540516 -0.18160173 -0.56613654 -0.6687919
 -0.19908158  0.2502597  -0.6317619   1.0825291  -1.3670859   1.0789006
 -1.0317423   0.02825462]",0.0,False
0,adversary_0,1.0,"[-0.3         0.          0.02364325  0.90092736  0.06562539 -1.751321
  0.43268034 -0.83226943 -0.735324   -0.0036285  -0.39998034 -1.0542744
  0.6317619  -1.0825291 ]",0.0,False
0,adversary_1,3.0,"[ 0.3        -0.         -0.71168077  0.8972989   0.8009494  -1.7476925
  1.1680044  -0.82864094  0.735324    0.0036285   0.3353437  -1.050646
  1.3670859  -1.0789006 ]",0.0,False
0,adversary_2,2.0,"[-0.         -0.3        -0.37633708 -0.1533471   0.46560574 -0.6970465
  0.8326607   0.22200507  0.39998034  1.0542744  -0.3353437   1.050646
  1.0317423  -0.02825462]",0.0,False
0,agent_0,1.0,"[ 3.0639912e-33 -4.0000001e-01  6.5540516e-01 -1.8160173e-01
 -5.6613654e-01 -6.6879189e-01 -1.9908158e-01  2.5025970e-01
 -6.3176191e-01  1.0825291e+00 -1.3670859e+00  1.0789006e+00
 -1.0317423e+00  2.8254624e-02]",0.0,False
0,adversary_0,2.0,"[-0.525       0.         -0.00635675  0.90092736  0.09562539 -1.751321
  0.46268034 -0.83226943 -0.675324   -0.0036285  -0.36998034 -1.0842745
  0.66176194 -1.1225291 ]",0.0,False
0,adversary_1,4.0,"[ 0.225      -0.3        -0.6816808   0.8972989   0.7709494  -1.7476925
  1.1380044  -0.82864094  0.675324    0.0036285   0.3053437  -1.080646
  1.337086   -1.1189007 ]",0.0,False
0,adversary_2,2.0,"[ 0.3        -0.225      -0.37633708 -0.1833471   0.46560574 -0.6670465
  0.8326607   0.25200507  0.36998034  1.0842745  -0.3053437   1.080646
  1.0317423  -0.03825463]",0.0,False
0,agent_0,3.0,"[-0.4        -0.3         0.65540516 -0.22160172 -0.56613654 -0.62879187
 -0.19908158  0.2902597  -0.66176194  1.1225291  -1.337086    1.1189007
 -1.0317423   0.03825463]",0.0,False
